#Wav_low     Wav_up     Depth          Err_up          Err_dwn          Insturment          Offset?
#(Angstroms) (Angstroms) (ppm)         (ppm)           (ppm)            (name)              (YES/NO)
3001.0 3470.0 14737.4085 40.002 40.002 HST/STIS NO
3480.0 4020.0 14717.4957 22.2084 22.2084 HST/STIS NO
4030.0 4570.0 14598.3026 13.2712 13.2712 HST/STIS NO
4580.0 5120.0 14552.0812 13.2502 13.2502 HST/STIS NO
5120.0 5670.0 14547.683 22.0804 22.0804 HST/STIS NO
5320.0 6290.0 14699.8067 13.3171 13.3171 HST/STIS NO
6290.0 7260.0 14545.4841 11.0394 11.0394 HST/STIS NO
7270.0 8240.0 14505.9333 13.2293 13.2293 HST/STIS NO
8250.0 9220.0 14598.3026 13.2712 13.2712 HST/STIS NO
9220.0 10190.0 14748.477 28.9011 28.9011 HST/STIS NO
11095.0 11285.0 14512.7 50.6 50.6 HST/WFC3 NO
11285.0 11475.0 14546.5 35.5 35.5 HST/WFC3 NO
11475.0 11665.0 14566.3 35.2 35.2 HST/WFC3 NO
11655.0 11845.0 14523.1 34.6 34.6 HST/WFC3 NO
11845.0 12035.0 14528.7 34.1 34.1 HST/WFC3 NO
12035.0 12225.0 14549.9 33.7 33.7 HST/WFC3 NO
12225.0 12415.0 14571.8 33.5 33.5 HST/WFC3 NO
12415.0 12605.0 14538.6 33.6 33.6 HST/WFC3 NO
12605.0 12795.0 14522.2 33.8 33.8 HST/WFC3 NO
12785.0 12975.0 14538.4 33.7 33.7 HST/WFC3 NO
12975.0 13165.0 14535.9 33.4 33.4 HST/WFC3 NO
13165.0 13355.0 14604.5 33.4 33.4 HST/WFC3 NO
13355.0 13545.0 14685.0 33.5 33.5 HST/WFC3 NO
13545.0 13735.0 14779.0 33.9 33.9 HST/WFC3 NO
13735.0 13925.0 14752.1 34.4 34.4 HST/WFC3 NO
13915.0 14105.0 14788.8 34.5 34.5 HST/WFC3 NO
14105.0 14295.0 14705.2 34.7 34.7 HST/WFC3 NO
14295.0 14485.0 14701.7 35.0 35.0 HST/WFC3 NO
14485.0 14675.0 14677.7 35.4 35.4 HST/WFC3 NO
14675.0 14865.0 14695.1 35.9 35.9 HST/WFC3 NO
14865.0 15055.0 14722.3 36.4 36.4 HST/WFC3 NO
15055.0 15245.0 14641.4 36.6 36.6 HST/WFC3 NO
15235.0 15425.0 14676.8 37.1 37.1 HST/WFC3 NO
15425.0 15615.0 14666.2 37.8 37.8 HST/WFC3 NO
15615.0 15805.0 14642.5 38.6 38.6 HST/WFC3 NO
15805.0 15995.0 14594.1 39.2 39.2 HST/WFC3 NO
15995.0 16185.0 14530.1 39.9 39.9 HST/WFC3 NO
16185.0 16375.0 14642.1 40.8 40.8 HST/WFC3 NO
32000.0 40000.0 14213.6614 76.3015 76.3015 Spitzer NO
40000.0 50000.0 14695.6879 70.3109 70.3109 Spitzer NO
51000.0 63000.0 14271.7208 592.543 592.543 Spitzer NO
66000.0 90000.0 14393.3911 175.1598 175.1598 Spitzer NO
