#Wav_low     Wav_up     Depth          Err_up          Err_dwn          Insturment          Offset?
#(Angstroms) (Angstroms) (ppm)         (ppm)           (ppm)          	(name)         	    (YES/NO)
4000.0 4190.0 18818.3524 1028.822 998.7723 Magellan/IMAC YES
4190.0 4350.0 17258.0769 918.3555 894.5505 Magellan/IMAC YES
4350.0 4460.0 17704.9636 826.4133 810.1632 Magellan/IMAC YES
4460.0 4560.0 16829.8729 729.0272 716.1093 Magellan/IMAC YES
4560.0 4665.0 16713.3184 710.6816 693.3535 Magellan/IMAC YES
4665.0 4733.0 18574.9641 977.4648 949.7465 Magellan/IMAC YES
4764.0 4882.0 18200.7081 1098.0583 1065.8981 Magellan/IMAC YES
4882.0 4982.0 17699.6416 552.3684 546.5007 Magellan/IMAC YES
4982.0 5082.0 16952.04 395.4841 390.9239 Magellan/IMAC YES
5082.0 5182.0 18165.6484 461.142 455.362 Magellan/IMAC YES
5182.0 5282.0 17392.3344 569.026 559.8668 Magellan/IMAC YES
5282.0 5382.0 17574.8049 496.62 492.3149 Magellan/IMAC YES
5382.0 5482.0 16996.3369 551.964 543.144 Magellan/IMAC YES
5482.0 5582.0 17318.56 391.7264 384.7431 Magellan/IMAC YES
5582.0 5682.0 17694.3204 355.6021 352.0643 Magellan/IMAC YES
5682.0 5772.0 17958.6801 296.032 293.612 Magellan/IMAC YES
5772.0 5862.0 17004.16 359.1729 357.9996 Magellan/IMAC YES
5862.9 5922.9 17394.9721 448.6443 442.9321 Magellan/IMAC YES
5922.9 6022.9 16915.6036 289.9653 287.5011 Magellan/IMAC YES
6022.9 6122.9 17752.8976 366.9545 365.838 Magellan/IMAC YES
6122.9 6222.9 17466.2656 420.122 417.7407 Magellan/IMAC YES
6222.9 6320.0 17179.3449 557.5675 546.084 Magellan/IMAC YES
6350.0 6428.0 18063.36 574.3504 565.3616 Magellan/IMAC YES
6428.0 6528.0 16959.8529 382.4032 380.7153 Magellan/IMAC YES
6528.0 6628.0 17728.9225 302.1959 297.0016 Magellan/IMAC YES
6628.0 6728.0 17313.2964 314.5765 311.7443 Magellan/IMAC YES
6728.0 6828.0 16837.6576 297.1524 297.1255 Magellan/IMAC YES
6828.0 6938.0 17064.1969 409.9992 402.5505 Magellan/IMAC YES
6938.0 7048.0 17258.0769 367.1407 363.2765 Magellan/IMAC YES
7048.0 7148.0 17103.4084 307.3941 302.064 Magellan/IMAC YES
7148.0 7248.0 17004.16 343.3641 337.35 Magellan/IMAC YES
7248.0 7348.0 16555.9689 380.4507 376.1289 Magellan/IMAC YES
7348.0 7448.0 17646.4656 449.1648 446.1431 Magellan/IMAC YES
7448.0 7551.2 17038.0809 409.6872 402.2405 Magellan/IMAC YES
7551.2 7651.2 15607.5049 687.0176 674.6649 Magellan/IMAC YES
7651.2 7711.2 17250.1956 513.3628 503.2475 Magellan/IMAC YES
7711.2 7811.2 16584.2884 409.4412 406.9923 Magellan/IMAC YES
7811.2 7928.0 16607.4769 461.9456 455.6088 Magellan/IMAC YES
7958.0 8037.0 16954.6441 583.0608 573.204 Magellan/IMAC YES
8037.0 8137.0 17394.9721 403.256 396.0277 Magellan/IMAC YES
8137.0 8237.0 17389.6969 411.1995 403.788 Magellan/IMAC YES
8237.0 8337.0 17247.5689 367.0295 365.764 Magellan/IMAC YES
8337.0 8437.0 16111.2249 455.0392 448.7024 Magellan/IMAC YES
8437.0 8537.0 17113.8724 413.2397 408.3099 Magellan/IMAC YES
8537.0 8637.0 16876.6081 321.0915 315.492 Magellan/IMAC YES
8637.0 8737.0 16437.8041 485.604 478.5352 Magellan/IMAC YES
8737.0 8837.0 15800.49 455.76 446.8019 Magellan/IMAC YES
8837.0 8937.0 16386.5601 560.2723 550.8545 Magellan/IMAC YES
8937.0 9037.0 16970.2729 498.636 491.416 Magellan/IMAC YES
9037.0 9137.0 16121.3809 468.0591 461.3613 Magellan/IMAC YES
9137.0 9237.0 16952.04 514.2256 503.9775 Magellan/IMAC YES
9237.0 9337.0 16682.3056 820.9844 801.2652 Magellan/IMAC YES
9337.0 9482.0 15941.5876 826.0725 802.746 Magellan/IMAC YES
9482.0 9670.0 15845.7744 1145.3481 1107.8144 Magellan/IMAC YES
11340.0 11540.0 15227.56 193.1124 191.8956 HST/WFC3 NO
11540.0 11740.0 15425.64 254.4084 252.3276 HST/WFC3 NO
11740.0 11940.0 15715.1296 183.5585 182.4927 HST/WFC3 NO
11940.0 12140.0 15785.4096 189.0225 187.8975 HST/WFC3 NO
12140.0 12340.0 15843.2569 171.6456 170.7208 HST/WFC3 NO
12340.0 12540.0 15383.4409 164.1552 163.284 HST/WFC3 NO
12540.0 12740.0 15700.09 193.5549 192.3691 HST/WFC3 NO
12740.0 12940.0 15840.7396 212.1504 210.7392 HST/WFC3 NO
12940.0 13140.0 15560.0676 170.1088 169.184 HST/WFC3 NO
13140.0 13340.0 15480.3364 217.2477 215.7339 HST/WFC3 NO
13340.0 13540.0 15627.5001 215.7568 214.2776 HST/WFC3 NO
13540.0 13740.0 15989.6025 220.7799 219.2661 HST/WFC3 NO
13740.0 13940.0 16030.0921 193.0248 191.8696 HST/WFC3 NO
13940.0 14140.0 15787.9225 234.5739 232.8441 HST/WFC3 NO
14140.0 14340.0 15808.0329 234.7227 232.9929 HST/WFC3 NO
14340.0 14540.0 15532.6369 298.0355 295.2033 HST/WFC3 NO
14540.0 14740.0 15745.2304 312.728 309.6528 HST/WFC3 NO
14740.0 14940.0 16350.7369 264.4731 262.3513 HST/WFC3 NO
14940.0 15140.0 15992.1316 366.2784 362.1312 HST/WFC3 NO
15140.0 15340.0 15997.1904 345.8752 342.176 HST/WFC3 NO
15340.0 15540.0 16004.7801 351.072 347.2632 HST/WFC3 NO
15540.0 15740.0 15490.2916 443.7213 437.4555 HST/WFC3 NO
15740.0 15940.0 15343.7769 474.316 467.096 HST/WFC3 NO
15940.0 16140.0 14984.2081 424.0488 418.132 HST/WFC3 NO
16140.0 16340.0 15492.7809 476.596 469.376 HST/WFC3 NO
31296.0 39614.0 15448.0041 327.3559 323.9237 Spitzer NO
39173.0 50561.0 14723.3956 427.7525 421.6275 Spitzer NO
